,close,spread,timestamp
0,10228.27,1.85,1568678400
1,10230.12,1,1568679300
2,10234.01,0.44,1568680200
3,10218.45,1.67,1568681100
4,10210.43,-0.19,1568682000
5,10215.09,-0.22,1568682900
6,10224.38,0.07,1568683800
7,10209.97,0.52,1568684700
8,10215.71,0.97,1568685600
9,10212.06,-0.34,1568686500
10,10222.12,-0.6,1568687400
11,10224.95,0.98,1568688300
12,10210.94,0.43,1568689200
13,10205.55,-0.17,1568690100
14,10215.54,1.56,1568691000
15,10225.3,1.21,1568691900
16,10213.63,0.69,1568692800
17,10210.47,-0.13,1568693700
18,10210.28,-1.52,1568694600
19,10193.18,-0.67,1568695500
20,10212.12,1.72,1568696400
21,10192.58,-2.04,1568697300
22,10196.95,-0.04,1568698200
23,10195.76,-0.06,1568699100
24,10185.41,1.27,1568700000
25,10194.7,0.61,1568700900
26,10194.43,-1.38,1568701800
27,10189.32,0.86,1568702700
28,10208.18,0.88,1568703600
29,10192.58,0.73,1568704500
30,10208.87,1.44,1568705400
31,10203.61,1.72,1568706300
32,10191.86,0.39,1568707200
33,10185.43,-1.11,1568708100
34,10180.01,0.69,1568709000
35,10173.13,-10.13,1568709900
36,10162.76,0.46,1568710800
37,10158.04,1.55,1568711700
38,10151.64,1.9,1568712600
39,10160.87,-1.86,1568713500
40,10170.84,-0.7,1568714400
41,10178.18,0.21,1568715300
42,10176.34,-1.33,1568716200
43,10170.35,-0.04,1568717100
44,10162.11,-8.07,1568718000
45,10170.06,-0.04,1568718900
46,10166.8,-3.2,1568719800
47,10162.88,-0.12,1568720700
48,10209.06,46.75,1568721600
49,10181.93,-15.54,1568722500
50,10193.98,1.13,1568723400
51,10216.41,17.78,1568724300
52,10221.41,4.8,1568725200
53,10218.66,1.79,1568726100
54,10198.6,-6.92,1568727000
55,10186.99,1.07,1568727900
56,10200.07,18.28,1568728800
57,10178.59,-20.3,1568729700
58,10189.03,-0.1,1568730600
59,10212.97,0.68,1568731500
60,10200.07,-12.63,1568732400
61,10220,-1.19,1568733300
62,10215,1.46,1568734200
63,10200.6,-11.49,1568735100
64,10243.41,-0.36,1568736000
65,10226.59,1.59,1568736900
66,10231.03,-0.06,1568737800
67,10252.46,12.45,1568738700
68,10247,0.29,1568739600
69,10234.54,-0.46,1568740500
70,10235.37,-0.73,1568741400
71,10250.45,-1.69,1568742300
72,10233.03,-0.26,1568743200
73,10217.06,-0.32,1568744100
74,10229.94,0.49,1568745000
75,10226.93,1.17,1568745900
76,10254.91,2.78,1568746800
77,10250.78,-0.46,1568747700
78,10246.23,-0.27,1568748600
79,10257.94,2.03,1568749500
80,10248.63,0.77,1568750400
81,10257.35,0.63,1568751300
82,10258.72,-0.39,1568752200
83,10245.18,1.18,1568753100
84,10248.48,1.64,1568754000
85,10225.4,-1.33,1568754900
86,10212.85,2.16,1568755800
87,10213.93,1.75,1568756700
88,10233,-0.51,1568757600
89,10216.8,-0.16,1568758500
90,10226.03,0.98,1568759400
91,10225.96,0.8,1568760300
92,10223.9,0.82,1568761200
93,10192.47,-0.33,1568762100
94,10195.51,1.22,1568763000
95,10187.82,1.3,1568763900
96,10202.49,0.11,1568764800
97,10201.44,-0.15,1568765700
98,10199.78,2.22,1568766600
99,10214.04,-3.81,1568767500
100,10220.95,-0.1,1568768400
101,10249.32,1.02,1568769300
102,10240.92,-0.32,1568770200
103,10244.89,-0.57,1568771100
104,10244.18,2.51,1568772000
105,10229.24,-1.9,1568772900
106,10228.49,0.16,1568773800
107,10222.49,1.18,1568774700
108,10215.44,0.83,1568775600
109,10209.04,1.09,1568776500
110,10194,0.44,1568777400
111,10206.44,0.39,1568778300
112,10215.11,1.46,1568779200
113,10208.87,-0.1,1568780100
114,10203.22,0.38,1568781000
115,10218.38,0.2,1568781900
116,10224.25,0.54,1568782800
117,10221.24,1.08,1568783700
118,10202,-0.87,1568784600
119,10198.87,0.15,1568785500
120,10212.12,1.12,1568786400
121,10208.35,0.96,1568787300
122,10198.5,0.06,1568788200
123,10192.29,-2.43,1568789100
124,10193.72,1.12,1568790000
125,10195,-0.04,1568790900
126,10211.52,0.59,1568791800
127,10199.92,1.38,1568792700
128,10192.65,-1.35,1568793600
129,10173.74,-2.26,1568794500
130,10164.46,-1.2,1568795400
131,10162.53,-1.47,1568796300
132,10182.34,-0.89,1568797200
133,10177.96,-0.1,1568798100
134,10170.91,-0.28,1568799000
135,10174.14,0.06,1568799900
136,10189.87,1.09,1568800800
137,10191.54,0.29,1568801700
138,10188.21,0.27,1568802600
139,10178.97,-0.1,1568803500
140,10170.98,0.41,1568804400
141,10170.69,0.3,1568805300
142,10150,0,1568806200
143,10158.9,2.78,1568807100
144,10169.36,0.97,1568808000
145,10205.93,0.37,1568808900
146,10192.23,0.15,1568809800
147,10190.58,0.44,1568810700
148,10199.93,1.1,1568811600
149,10182.65,0.14,1568812500
150,10174.51,0,1568813400
151,10178.96,0.3,1568814300
152,10173.7,1.14,1568815200
153,10186.28,0.79,1568816100
154,10176.32,-0.98,1568817000
155,10173.86,0.84,1568817900
156,10169.33,1.31,1568818800
157,10159.29,0.64,1568819700
158,10165.5,0.91,1568820600
159,10173.4,0.49,1568821500
160,10196.94,-0.14,1568822400
161,10188.27,-1.52,1568823300
162,10193.04,-0.98,1568824200
163,10191.98,0.5,1568825100
164,10191,0.23,1568826000
165,10193.54,0.2,1568826900
166,10186.91,-1.21,1568827800
167,10187.12,-0.71,1568828700
168,10191.5,-0.5,1568829600
169,10187.97,0.72,1568830500
170,10177.03,-0.6,1568831400
171,10180,0.27,1568832300
172,10191.02,1.03,1568833200
173,10168.94,-1.07,1568834100
174,10174.91,0.35,1568835000
175,10171.84,0.67,1568835900
176,10164.27,-1.37,1568836800
177,10174.07,0.09,1568837700
178,10204.05,3.25,1568838600
179,10188.83,-0.88,1568839500
180,10199.96,0.97,1568840400
181,10204.24,-0.62,1568841300
182,10197.39,0.55,1568842200
183,10195.79,-0.17,1568843100
184,10189.3,0.51,1568844000
185,10183,-0.51,1568844900
186,10163.05,-0.45,1568845800
187,10174.49,1.36,1568846700
188,10167.91,0.12,1568847600
189,10180.03,0.73,1568848500
190,10162.59,0.65,1568849400
191,10156.99,1.83,1568850300
192,10171.85,-2.35,1568851200
193,10170.87,-0.83,1568852100
194,10173.42,-0.21,1568853000
195,10177.05,-0.41,1568853900
196,10171.02,0.05,1568854800
197,10162.95,-0.39,1568855700
198,10151.31,0.07,1568856600
199,10125.04,0.07,1568857500
200,10123.53,0.19,1568858400
201,10121.99,-1.4,1568859300
202,10105.31,1.18,1568860200
203,10094.48,0.82,1568861100
204,9747.13,7.13,1568862000
205,9762.97,2.76,1568862900
206,9823.8,0.85,1568863800
207,9823.81,1.84,1568864700
208,9799.47,2.1,1568865600
209,9785,-1.21,1568866500
210,9807.37,-0.9,1568867400
211,9821.57,-0.34,1568868300
212,9852.22,2.34,1568869200
213,9868.47,0.37,1568870100
214,9879.83,1.11,1568871000
215,9893.85,0.69,1568871900
216,9867.5,1.71,1568872800
217,9866.08,-0.46,1568873700
218,9869.1,5.2,1568874600
219,9869.57,1.58,1568875500
220,9859.26,0.71,1568876400
221,9865.59,0.48,1568877300
222,9882.5,-0.53,1568878200
223,9875.49,3.11,1568879100
224,9870.97,-0.69,1568880000
225,9892.14,0.55,1568880900
